mat_codigo;mat_carrera;mat_id;mat_nombre;mat_creditos;mat_ciclo;mat_tipo;mat_eje;mat_tipoacreditacion;mat_totalhoras
299;10;BIOA-03;BIOESTADÍSTICA APLICADA;10;3;M;37;C;90
300;10;EDUS-03;EDUCACIÓN PARA LA SALUD;10;3;M;38;C;90
301;10;PCO-03;PARTICIPACIÓN COMUNITARIA;10;3;M;38;C;90
302;10;RHBC-03;REHABILITACIÓN BASADA EN LA COMUNIDAD;10;3;M;38;C;90
303;10;PSEAAM-03;PROMOCIÓN DE LA SALUD CON ÉNFASIS EN ADULTO Y ADULTO MAYOR;10;3;M;38;C;90
304;10;DGP-03;DISEÑO Y GESTIÓN DE PROYECTOS DE PROMOCIÓN EN SALUD;10;3;M;39;C;90
305;10;EDUPII-03;EDUCACIÓN POPULAR II;10;3;M;40;C;90
306;10;PPE-04;PRINCIPIOS DE PLANIFICACIÓN ESTRATÉGICA;10;4;M;37;C;90
307;10;ASIS-04;ANÁLISIS DE LA SITUACIÓN INTEGRAL DE SALUD;10;4;M;38;C;90
308;10;ADP-04;ADMINISTRACIÓN DE PROYECTOS;10;4;M;38;C;90
309;10;GED-04;GESTIÓN DE EMERGENCIAS Y DESASTRES;10;4;M;38;C;90
310;10;PDLS-04;PLANIFICACIÓN DEL DESARROLLO LOCAL DE LA SALUD;10;4;M;38;C;90
311;10;PSC-04;PROYECTO DE SALUD COMUNITARIA;10;4;M;39;C;90
312;10;EMPO-04;EMPODERAMIENTO;10;4;M;40;C;90
313;10;LCOM-04;LIDERAZGO COMUNITARIO;10;4;M;40;C;90
290;10;TASII-02;TICS APLICADAS A LA SALUD II;10;2;M;37;C;90
316;7;ING A1;INGLES A1(BASICO);36;1;M;25;H;90
168;6;ELDI;ELECTRÓNICA DIGITAL;108;2;M;22;H;90
317;6;SEIN;SEGURIDAD INDUSTRIAL;46;2;M;20;H;90
206;7;M-EEPS-3;EMPRESA Y SU ENTORNO PSICOLOGÍA INDUSTRIAL;66;3;M;28;H;90
318;7;ING A2;INGLÉS A2;36;2;M;25;H;90
319;7;ING B1;INGLÉS B1;36;3;M;25;H;90
179;6;MAIN;MANTENIMIENTO INDUSTRIAL;46;4;M;22;H;90
222;8;PS1;PSICOMOTRICIDAD;162;1;M;35;H;90
315;8;A1-BÁSICO;INGLÉS A1 (BÁSICO);54;1;C;33;H;90
238;8;SDCEID;SISTEMA DE DESARROLLO, CONTROL Y EVALUACIÓN INTEGRAL DEL DEPORTISTA;162;4;M;35;H;90
6;1;FUPR;FUNDAMENTOS DE PROGRAMACIÓN;165;1;M;3;H;90
159;6;MATE-I;MATEMÁTICA TÉCNICA I;248;1;M;20;H;90
94;3;DIIGSC-V;GESTIÓN DE SERVICIOS DE CALIDAD;80;5;M;8;H;90
1;1;TEOE;TÉCNICAS DE EXPRESIÓN ORAL Y ESCRITA;65;1;M;1;H;36
75;3;DIILAI-02;LEGISLACIÓN, POLÍTICAS Y MODELOS PARA LA ATENCIÓN INFANTIL;60;2;M;8;H;90
81;3;DIILN-02;LENGUA DE LA NACIONALIDAD I;55;2;M;11;H;90
321;3;ING II;INGLÉS II;36;2;M;9;H;90
320;3;ING V;INGLÉS V;36;5;M;9;H;90
314;3;ING I;INGLÉS I;36;1;M;9;C;90
324;3;DIITICS-02;TICS II;65;3;M;9;H;90
325;5;SPDH_01;DERECHOS HUMANOS APLICADOS AL CONTEXTO PENITENCIARIO;194;1;M;16;H;90
135;5;SPDH_01;DERECHOS HUMANOS APLICADOS AL CONTEXTO PENITENCIARIO;194;1;M;16;H;90
